yahoo.com, 98.139.183.24
baidu.com, 123.125.114.144
wikipedia.org, 208.80.154.224
facebook.com, 173.252.110.27
microsoft.com, 64.4.11.37
blogspot.com, 74.125.193.191
msn.com, 65.55.206.228
live.com, 65.55.206.154
bing.com, 204.79.197.200
sina.com.cn, 202.108.33.60
ask.com, 66.235.120.127
adobe.com, 192.150.16.117
twitter.com, 199.59.149.198
youtube.com, 208.117.232.123
ifeng.com, 210.51.19.61
bbc.co.uk, 212.58.244.20
mozilla.com, 63.245.217.194
youku.com, 211.151.146.209
yandex.ru, 93.158.134.11
sdjjdsaf.com, 
myspace.com, 216.178.46.224
mail.ru, 94.100.180.199
go.com, 68.71.220.3
4399.com, 115.182.52.231
orkut.com, 74.125.192.85
skype.com, 91.190.216.21
ameblo.jp, 180.233.142.129
flickr.com, 69.147.76.173
4shared.com, 74.117.178.54
linkedin.com, 216.52.242.86
amazon.co.jp, 54.240.252.0
cnet.com, 64.30.224.118
dailymotion.com, 195.8.215.137
naver.com, 202.131.30.12
imdb.com, 207.171.166.22
aol.com, 205.188.101.58
qq.com, 163.177.65.160
nifty.com, 210.131.4.217
imageshack.us, 208.94.0.193
cnn.com, 157.166.226.25
taobao.com, 110.75.20.163
goo.ne.jp, 218.213.142.230
soso.com, 183.61.32.183
tianya.cn, 124.225.135.222
zynga.com, 74.114.13.1
amazon.com, 176.32.98.166
softonic.com, 46.28.209.20
walmart.com, 161.170.244.20
kugou.com, 183.61.119.254
hp.com, 15.201.225.10
youdao.com, 61.135.218.27
163.com, 123.58.180.8
pconline.com.cn, 219.136.245.40
hotmail.com, 65.55.77.28
ebay.de, 66.135.200.23
mywebsearch.com, 74.113.237.48
craigslist.org, 208.82.238.129
soku.com, 220.181.185.143
hotfile.com, 199.7.177.216
weather.com, 96.8.82.132
livedoor.jp, 125.6.149.67
blogger.com, 74.125.193.191
odnoklassniki.ru, 217.20.147.94
andysayler.com, 198.199.109.206
alibaba.com, 205.204.96.36
paipai.com, 58.251.150.244
wmfo.org, 23.92.21.128
partypoker.com, 194.150.36.34
wordpress.com, 76.74.254.126
tudou.com, 123.126.98.173
apple.com, 17.149.160.49
vkontakte.ru, 87.240.156.163
alipay.com, 110.75.143.33
answers.com, 67.196.156.65
daum.net, 114.108.157.50
jp.msn.com, 202.89.231.47
rapidshare.com, 154.46.193.4
photobucket.com, 209.17.80.100
mediafire.com, 205.196.120.13
seesaa.net, 59.106.28.139
hao123.com, 180.149.131.31
ehow.com, 98.124.247.46
7k7k.com, 115.182.59.33
windows.com, 65.55.58.201
ebay.com, 66.135.205.13
xunlei.com, 58.251.57.175
56.com, 59.32.213.232
360.cn, 220.181.24.100
qiyi.com, 202.108.14.56
paypal.com, 66.211.169.3
yahoo.co.jp, 203.216.243.240
fc2.com, 54.241.184.224
rakuten.co.jp, 202.72.51.22
about.com, 207.241.148.80
orkut.com.br, 74.125.193.86
sohu.com, 220.181.90.24
renren.com, 220.181.181.223
tmall.com, 110.75.20.163
pps.tv, 58.83.190.154
2345.com, 42.62.4.52
ku6.com, 122.11.45.243
sogou.com, 218.30.103.111
